model,parameter_value,q,w_q,k,omega_re,omega_im,A,B,delta_f_r0,I_rho,local_combo,direct_A,direct_B,abs_A_error,abs_B_error
Bardeen,0.03333333333333333,0.03333333333333333,,,0.7699429145415233,-0.09621316522976912,0.00018518518518528815,-0.0001234567901233774,0.00012345679012352542,1.4736568804813318e-05,2.7289942231122687e-06,0.00018518518518518518,-0.0001234567901234568,1.0297210133181078e-16,7.939070408025106e-17
Bardeen,0.06666666666666667,0.06666666666666667,,,0.7703705814075895,-0.09617752632426359,0.0007407407407407085,-0.0004938271604938427,0.0004938271604938056,5.8946275219217934e-05,1.0915976892448092e-05,0.0007407407407407407,-0.0004938271604938272,3.220080452281948e-17,1.5504091066542713e-17
Bardeen,0.1,0.1,,,0.7710833595177002,-0.09611812814842104,0.0016666666666667052,-0.0011111111111110628,0.0011111111111111367,0.0001326291192432492,2.4560948008008455e-05,0.001666666666666667,-0.0011111111111111113,3.8163916471489756e-17,4.85722573273506e-17
Bardeen,0.13333333333333333,0.13333333333333333,,,0.7720812488718553,-0.09603497070224146,0.002962962962963056,-0.0019753086419753707,0.0019753086419753707,0.0002357851008768894,4.3663907569794333e-05,0.002962962962962963,-0.0019753086419753087,9.324138683375338e-17,6.201636426617085e-17
Bardeen,0.16666666666666666,0.16666666666666666,,,0.7733642494700542,-0.09592805398572486,0.004629629629629539,-0.0030864197530864335,0.0030864197530863593,0.00036841422012012093,6.822485557780082e-05,0.004629629629629629,-0.0030864197530864196,9.020562075079397e-17,1.3877787807814457e-17
Bardeen,0.2,0.2,,,0.7749323613122977,-0.09579737799887124,0.006666666666666599,-0.004444444444444473,0.0044444444444443985,0.0005305164769729791,9.824379203203382e-05,0.006666666666666668,-0.004444444444444445,6.938893903907228e-17,2.7755575615628914e-17
Bardeen,0.23333333333333334,0.23333333333333334,,,0.7767855843985854,-0.0956429427416806,0.009074074074074012,-0.0060493827160493785,0.006049382716049341,0.0007220918714354462,0.00013372071693249036,0.009074074074074075,-0.006049382716049383,6.245004513516506e-17,4.336808689942018e-18
Bardeen,0.26666666666666666,0.26666666666666666,,,0.7789239187289173,-0.09546474821415293,0.01185185185185178,-0.00790123456790126,0.007901234567901186,0.0009431404035075223,0.00017465563027917145,0.011851851851851851,-0.007901234567901235,7.112366251504909e-17,2.6020852139652106e-17
Bardeen,0.3,0.3,,,0.7813473643032934,-0.09526279441628825,0.014999999999999902,-0.010000000000000009,0.009999999999999934,0.0011936620731892074,0.00022104853207207607,0.015,-0.01,9.71445146547012e-17,8.673617379884035e-18
Bardeen,0.3333333333333333,0.3333333333333333,,,0.7840559211217141,-0.09503708134808654,0.0185185185185186,-0.012345679012345734,0.012345679012345734,0.001473656880480519,0.0002728994223112072,0.018518518518518517,-0.012345679012345678,8.326672684688674e-17,5.551115123125783e-17
