w,Q,r_ph,Omega,lambda,deltaOmega,deltaLambda,omega_re,omega_im,delta_omega_re,delta_omega_im
0.17391304347826086,0.008695652173913044,2.971454044867607,0.19400249564527253,0.19362322949783398,0.0015524059153972647,0.0011730864778266292,0.7760099825810901,-0.09681161474891699,0.006209623661589059,-0.0005865432389133146
0.17391304347826086,0.013043478260869566,2.9570968643841917,0.19479409514826443,0.1942216199533993,0.0023440054183891668,0.0017714769333919411,0.7791763805930577,-0.09711080997669964,0.009376021673556667,-0.0008857384666959706
0.17391304347826086,0.017391304347826087,2.942682918223869,0.19559624749203894,0.1948281329754096,0.003146157762163676,0.0023779899554022543,0.7823849899681558,-0.0974140664877048,0.012584631048654704,-0.0011889949777011272
0.17391304347826086,0.021739130434782608,2.9282117255968623,0.1964091768218006,0.19544294265956363,0.0039590870919253285,0.0029927996395562873,0.7856367072872024,-0.09772147132978182,0.015836348367701314,-0.0014963998197781436
0.17391304347826086,0.026086956521739132,2.9136827994146945,0.19723311378550556,0.19606622839500168,0.004783024055630303,0.0036160853749943322,0.7889324551420223,-0.09803311419750084,0.01913209622252121,-0.0018080426874971661
0.17391304347826086,0.030434782608695653,2.8990956461755295,0.1980682957730621,0.1966981748258841,0.00561820604318683,0.00424803180587674,0.7922731830922484,-0.09834908741294204,0.02247282417274732,-0.00212401590293837
0.17391304347826086,0.034782608695652174,2.8844497658558383,0.1989149671662025,0.19733897222918914,0.006464877436327232,0.004888829209181794,0.79565986866481,-0.09866948611459457,0.02585950974530893,-0.002444414604590897
0.17391304347826086,0.0391304347826087,2.8697446517768466,0.19977337959958702,0.19798881598011012,0.007323289869711758,0.0055386729601027695,0.7990935183983481,-0.09899440799005506,0.02929315947884703,-0.0027693364800513848
0.17391304347826086,0.043478260869565216,2.8549797905116296,0.20064379223373457,0.19864790790119427,0.008193702503859313,0.0061977648811869235,0.8025751689349383,-0.09932395395059714,0.03277481001543725,-0.0030988824405934617
0.17391304347826086,0.04782608695652174,2.840154661733872,0.20152647204041066,0.1993164558481368,0.009076382310535397,0.0068663128281294394,0.8061058881616426,-0.0996582279240684,0.03630552924214159,-0.0034331564140647197
0.17391304347826086,0.052173913043478265,2.825268738117194,0.20242169410114177,0.19999467382173017,0.009971604371266513,0.007544530801722821,0.8096867764045671,-0.09999733691086508,0.03988641748506605,-0.0037722654008614104
0.17391304347826086,0.05652173913043478,2.8103214851855634,0.20332974191956787,0.20068278259904826,0.010879652189692612,0.008232639579040912,0.8133189676782715,-0.10034139129952413,0.04351860875877045,-0.004116319789520456
0.17391304347826086,0.06086956521739131,2.7953123611964257,0.20425090774838786,0.2013810095031428,0.011800818018512599,0.008930866483135458,0.8170036309935514,-0.1006905047515714,0.047203272074050395,-0.004465433241567729
0.17391304347826086,0.06521739130434782,2.7802408170018555,0.20518549293170088,0.20208958951815204,0.012735403201825618,0.009639446498144688,0.8207419717268035,-0.10104479475907602,0.05094161280730247,-0.004819723249072344
0.17391304347826086,0.06956521739130435,2.765106295916203,0.2061338082635976,0.20280876454287405,0.013683718533722328,0.010358621522866707,0.8245352330543904,-0.10140438227143703,0.05473487413488931,-0.005179310761433353
0.17391304347826086,0.07391304347826087,2.749908233553477,0.20709617436390926,0.20353878411386472,0.014646084634033996,0.011088641093857377,0.828384697455637,-0.10176939205693236,0.05858433853613598,-0.005544320546928688
0.17391304347826086,0.0782608695652174,2.7346460577222285,0.2080729220720827,0.20427990628665912,0.015622832342207432,0.011829763266651777,0.8322916882883308,-0.10213995314332956,0.06249132936882973,-0.0059148816333258886
0.17391304347826086,0.08260869565217391,2.7193191882371317,0.20906439286020914,0.20503239690880481,0.01661430313033388,0.012582253888797468,0.8362575714408366,-0.10251619845440241,0.06645721252133552,-0.006291126944398734
0.17391304347826086,0.08695652173913043,2.703927036799086,0.21007093926630604,0.20579653071460421,0.017620849536430783,0.013346387694596867,0.8402837570652242,-0.10289826535730211,0.07048339814572313,-0.006673193847298434
0.17391304347826086,0.09130434782608696,2.688469006826185,0.21109292534902033,0.2065725916951119,0.018642835619145065,0.014122448675104565,0.8443717013960813,-0.10328629584755596,0.07457134247658026,-0.007061224337552283
0.17391304347826086,0.09565217391304348,2.672944493289669,0.21213072716500125,0.20736087267860656,0.01968063743512599,0.014910729658599214,0.848522908660005,-0.10368043633930328,0.07872254974050397,-0.007455364829299607
0.17391304347826086,0.1,2.657352882575017,0.21318473327027404,0.20816167678432754,0.02073464354039878,0.01571153376432019,0.8527389330810962,-0.10408083839216377,0.08293857416159511,-0.007855766882160095
0.21739130434782608,0.0,3.000000001112835,0.19245008972987526,0.19245014302000735,0.0,0.0,0.769800358919501,-0.09622507151000367,0.0,0.0
0.21739130434782608,0.004347826086956522,2.9854226104480124,0.19324553468567912,0.19306280295724884,0.000795444955803859,0.0006126599372414943,0.7729821387427165,-0.09653140147862442,0.003181779823215436,-0.00030632996862074713
0.21739130434782608,0.008695652173913044,2.9707898391658207,0.1940515317531358,0.19368373376094908,0.0016014420232605409,0.0012335907409417313,0.7762061270125432,-0.09684186688047454,0.0064057680930421634,-0.0006167953704708656
0.21739130434782608,0.013043478260869566,2.956101237957394,0.19486830317056206,0.19431311125697642,0.002418213440686795,0.0018629682369690759,0.7794732126822482,-0.09715655562848821,0.00967285376274718,-0.0009314841184845379
