w_q,k,f_r0,Omega_star,lambda_star,deltaOmega_over_Omega0,deltaLambda_over_lambda0,omega_re,omega_im,delta_omega_re,delta_omega_im
-0.9753086419753086,0.017037037037037035,0.19198383814615502,0.1516460051818077,0.1501720579118958,-0.21202424278076748,-0.21968309745826198,0.6065840207272308,-0.0750860289559479,-0.16321633819227022,0.021139015908989728
-0.9753086419753086,0.018518518518518514,0.17969257769509606,0.14809782391675835,0.146495707319028,-0.23046113345735597,-0.23878597549811098,0.5923912956670334,-0.073247853659514,-0.17740906325246764,0.02297719120542363
-0.9753086419753086,0.02,0.16740131724403703,0.144549642651709,0.14281935672616022,-0.24889802413394446,-0.2578888535379599,0.578198570606836,-0.07140967836308011,-0.19160178831266506,0.02481536650185752
-0.9506172839506173,-0.02,0.48629685535254724,0.23660685503686843,0.23971620202236316,0.22944528302882072,0.2456019239005347,0.9464274201474737,-0.11985810101118158,0.17662706122797267,-0.023633056146243947
-0.9506172839506173,-0.018518518518518517,0.47496622409186473,0.23333598353264673,0.23621500851921592,0.21244933613779704,0.2274091887967915,0.9333439341305869,-0.11810750425960796,0.16354357521108587,-0.02188245939467033
-0.9506172839506173,-0.017037037037037038,0.4636355928311823,0.23006511202842503,0.23271381501606866,0.19545338924677336,0.2092164536930481,0.9202604481137001,-0.11635690750803433,0.15046008919419906,-0.0201318626430967
-0.9506172839506173,-0.015555555555555555,0.4523049615704997,0.2267942405242033,0.22921262151292143,0.17845744235574945,0.1910237185893049,0.9071769620968132,-0.11460631075646072,0.13737660317731215,-0.018381265891523085
-0.9506172839506173,-0.014074074074074076,0.44097433030981725,0.22352336901998157,0.22571142800977415,0.16146149546472577,0.17283098348556147,0.8940934760799263,-0.11285571400488707,0.12429311716042524,-0.01663066913994944
-0.9506172839506173,-0.012592592592592593,0.4296436990491347,0.22025249751575987,0.22221023450662694,0.14446554857370209,0.15463824838181828,0.8810099900630395,-0.11110511725331347,0.11120963114353843,-0.01488007238837584
-0.9506172839506173,-0.011111111111111112,0.41831306778845223,0.21698162601153814,0.21870904100347965,0.12746960168267818,0.13644551327807486,0.8679265040461526,-0.10935452050173983,0.09812614512665152,-0.013129475636802196
-0.9506172839506173,-0.00962962962962963,0.40698243652776966,0.21371075450731644,0.21520784750033242,0.1104736547916545,0.11825277817433166,0.8548430180292658,-0.10760392375016621,0.08504265910976472,-0.01137887888522858
-0.9506172839506173,-0.00814814814814815,0.3956518052670872,0.21043988300309474,0.21170665399718516,0.09347770790063081,0.10006004307058824,0.841759532012379,-0.10585332699859258,0.07195917309287791,-0.00962828213365495
-0.9506172839506173,-0.006666666666666668,0.3843211740064047,0.20716901149887298,0.20820546049403788,0.07648176100960691,0.08186730796684483,0.8286760459954919,-0.10410273024701894,0.05887568707599089,-0.007877685382081306
-0.9506172839506173,-0.005185185185185187,0.3729905427457222,0.20389813999465128,0.20470426699089064,0.059485814118583225,0.06367457286310163,0.8155925599786051,-0.10235213349544532,0.04579220105910409,-0.0061270886305076905
-0.9506172839506173,-0.0037037037037037056,0.3616599114850397,0.20062726849042953,0.20120307348774338,0.04248986722755932,0.04548183775935821,0.8025090739617181,-0.10060153674387169,0.03270871504221706,-0.004376491878934061
-0.9506172839506173,-0.0022222222222222227,0.35032928022435716,0.19735639698620783,0.19770187998459615,0.025493920336535636,0.027289102655615016,0.7894255879448313,-0.09885093999229808,0.01962522902533026,-0.0026258951273604447
-0.9506172839506173,-0.0007407407407407432,0.33899864896367465,0.19408552548198613,0.19420068648144886,0.008497973445511953,0.009096367551871598,0.7763421019279445,-0.09710034324072443,0.006541743008443457,-0.000875298375786801
-0.9506172839506173,0.0007407407407407397,0.32766801770299214,0.1908146539777644,0.19069949297830166,-0.008497973445511953,-0.009096367551871487,0.7632586159110576,-0.09534974648915083,-0.006541743008443457,0.000875298375786801
-0.9506172839506173,0.002222222222222219,0.31633738644230963,0.1875437824735427,0.1871982994751544,-0.025493920336535636,-0.027289102655614905,0.7501751298941708,-0.0935991497375772,-0.01962522902533026,0.002625895127360431
-0.9506172839506173,0.003703703703703702,0.3050067551816271,0.18427291096932097,0.18369710597200714,-0.04248986722755943,-0.04548183775935821,0.7370916438772839,-0.09184855298600357,-0.032708715042217174,0.004376491878934061
-0.9506172839506173,0.005185185185185185,0.2936761239209446,0.18100203946509924,0.18019591246885988,-0.059485814118583225,-0.06367457286310163,0.724008157860397,-0.09009795623442994,-0.04579220105910409,0.0061270886305076905
-0.9506172839506173,0.0066666666666666645,0.2823454926602621,0.17773116796087754,0.17669471896571262,-0.07648176100960691,-0.08186730796684494,0.7109246718435102,-0.08834735948285631,-0.05887568707599089,0.00787768538208132
-0.9506172839506173,0.008148148148148147,0.2710148613995796,0.1744602964566558,0.17319352546256536,-0.0934777079006307,-0.10006004307058824,0.6978411858266232,-0.08659676273128268,-0.0719591730928778,0.00962828213365495
